rule,n_bets,bet_pct,total_pnl,roi,threshold,rule_family
EV >= 0.05,3202,0.3278050778050778,119.63899999999998,0.03736383510306058,0.05,"EV (NB, empirical overdispersion)"
EV >= 0.06,2800,0.28665028665028663,114.57899999999998,0.04092107142857142,0.06,"EV (NB, empirical overdispersion)"
EV >= 0.07,2445,0.2503071253071253,101.31799999999998,0.04143885480572596,0.07,"EV (NB, empirical overdispersion)"
EV >= 0.08,2097,0.21468058968058967,114.47799999999998,0.054591320934668564,0.08,"EV (NB, empirical overdispersion)"
EV >= 0.09,1752,0.17936117936117937,107.95299999999999,0.06161700913242008,0.09,"EV (NB, empirical overdispersion)"
EV >= 0.1,1488,0.15233415233415235,97.618,0.06560349462365592,0.1,"EV (NB, empirical overdispersion)"
EV >= 0.11,1244,0.12735462735462735,83.37099999999998,0.0670184887459807,0.11,"EV (NB, empirical overdispersion)"
EV >= 0.12,1050,0.1074938574938575,75.233,0.0716504761904762,0.12,"EV (NB, empirical overdispersion)"
EV >= 0.13,881,0.0901924651924652,79.57,0.09031782065834279,0.13,"EV (NB, empirical overdispersion)"
EV >= 0.14,738,0.07555282555282555,67.097,0.09091734417344173,0.14,"EV (NB, empirical overdispersion)"
EV >= 0.15,605,0.061936936936936936,82.73599999999999,0.13675371900826444,0.15,"EV (NB, empirical overdispersion)"
EV >= 0.16,504,0.051597051597051594,67.822,0.13456746031746034,0.16,"EV (NB, empirical overdispersion)"
EV >= 0.17,424,0.043407043407043405,75.84199999999998,0.17887264150943394,0.17,"EV (NB, empirical overdispersion)"
EV >= 0.18,343,0.035114660114660114,70.006,0.20409912536443148,0.18,"EV (NB, empirical overdispersion)"
EV >= 0.19,276,0.028255528255528257,54.276999999999994,0.19665579710144926,0.19,"EV (NB, empirical overdispersion)"
EV >= 0.2,212,0.021703521703521703,35.724999999999994,0.1685141509433962,0.2,"EV (NB, empirical overdispersion)"
EV >= 0.21,173,0.01771089271089271,21.092,0.12191907514450866,0.21,"EV (NB, empirical overdispersion)"
EV >= 0.22,140,0.014332514332514333,16.661,0.11900714285714287,0.22,"EV (NB, empirical overdispersion)"
EV >= 0.23,115,0.011773136773136773,10.312999999999999,0.08967826086956521,0.23,"EV (NB, empirical overdispersion)"
EV >= 0.24,89,0.009111384111384112,20.19,0.22685393258426967,0.24,"EV (NB, empirical overdispersion)"
EV >= 0.25,72,0.007371007371007371,14.988999999999999,0.20818055555555554,0.25,"EV (NB, empirical overdispersion)"
EV >= 0.26,53,0.005425880425880426,12.751999999999999,0.24060377358490564,0.26,"EV (NB, empirical overdispersion)"
EV >= 0.27,48,0.004914004914004914,13.914,0.289875,0.27,"EV (NB, empirical overdispersion)"
EV >= 0.28,40,0.004095004095004095,13.148,0.3287,0.28,"EV (NB, empirical overdispersion)"
EV >= 0.29,34,0.003480753480753481,10.469,0.30791176470588233,0.29,"EV (NB, empirical overdispersion)"
EV >= 0.3,27,0.002764127764127764,8.05,0.29814814814814816,0.3,"EV (NB, empirical overdispersion)"
